Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Bikes
12,0.9,37,1.5,1283,-12.1,1.12,0,0,1,1,303
16,5.1,16,1.8,1998,-18.7,1.17,0,0,1,1,404
15,24.4,87,1.5,1153,22,1.44,0,0,3,1,580
2,3.7,82,1.6,229,0.9,0,0,0,1,1,197
5,17.6,0,0.8,1304,9.7,0,0,0,2,1,174
18,17.7,75,2.1,519,13.2,0.12,0,0,2,1,1296
5,10.8,64,0.8,2000,4.2,0,0,0,4,1,0
9,20.7,67,1.1,464,14.3,1.3,0,0,2,1,1024
16,24,34,2.7,2000,7.1,1.62,0,0,4,1,2112
5,18.4,84,0.6,352,15.6,0,0,0,2,1,239
23,14,45,0.6,1901,2.2,0,0,0,2,1,906
12,19,60,1.8,513,11,2.11,0,0,4,1,1052
17,0.8,58,1.6,2000,-6.5,0.08,0,0,1,1,555
20,26.9,80,1.5,1806,23.1,0.09,0,0,3,1,2214
7,27.4,61,0.6,2000,19.2,0.17,0,0,3,1,316
11,21.2,97,1.2,105,20.6,0.15,18.5,0,3,1,11
2,19,72,1.4,1258,13.8,0,0,0,3,1,554
8,20.5,78,2.5,1250,16.5,0.32,0,0,4,1,2260
4,6.8,65,1.1,2000,0.6,0,0,0,4,1,148
8,4.7,72,1,1306,0,0.12,0,0,4,1,1906
4,19.4,56,1.2,1752,10.3,0,0,0,3,1,172
22,27.4,55,0.3,1001,17.5,0,0,0,3,1,2046
1,16.7,89,2.4,1814,14.8,0,1,0,4,1,0
16,20.3,25,1.8,2000,-0.3,1.15,0,0,4,1,1603
7,2.1,56,0.7,1477,-5.7,0,0,0,4,1,191
15,30.7,21,2.5,1876,5.8,2.95,0,0,3,1,1556
22,5.4,49,1.1,687,-4.4,0,0,0,1,1,461
1,5.7,75,1.7,706,1.6,0,0,0,1,1,337
14,27.8,37,1.4,1983,11.7,2.67,0,0,4,1,1064
5,1.1,75,0.6,1270,-2.8,0,0,0,4,1,129
4,-5.2,28,2.5,2000,-20.9,0,0,0,1,1,20
14,20.1,30,3,1554,1.9,2.57,0,0,2,1,1381
1,-5,42,1.2,1993,-15.9,0,0,0,1,1,130
8,-7.9,67,2.6,1896,-12.9,0,0,0.7,1,1,387
23,-6.9,53,0.7,2000,-14.8,0,0,0,1,1,138
8,12.7,67,0.6,378,6.7,0.86,0,0,2,1,647
15,18.2,63,2.2,687,11,0.72,0,0,2,1,1349
21,26.2,70,2.2,1908,20.2,0,0,0,3,1,2274
23,21.7,51,1.7,2000,11.1,0,0,0,3,1,1416
13,28.7,46,2.6,1815,15.9,3.1,0,0,3,1,965
11,28.1,35,1.3,1608,11.1,3.02,0,0,3,1,1020
3,1.6,43,1.1,1981,-9.6,0,0,0,4,1,202
8,-6,64,3.2,1384,-11.7,0,0,0.7,1,1,554
10,29.4,56,2.2,1153,19.7,2.38,0,0,3,1,695
4,16.2,69,0.7,2000,10.4,0,0,0,4,1,202
23,1.8,96,1.2,745,1.2,0,0,0,1,1,23
11,-9.9,32,3.3,1863,-23.5,1.72,0,0,1,1,175
15,-0.1,25,5.8,2000,-17.8,0.88,0,0,1,1,341
8,25.5,80,1.8,1402,21.7,0.37,0,0,3,1,2114
9,7.9,58,1.3,1033,0.1,0.8,0,0,4,1,0
22,13.9,69,0.5,2000,8.2,0,0,0,4,1,1501
14,21.1,32,4.4,1999,3.7,2.48,0,0,4,1,0
21,-4.6,43,4.5,2000,-15.3,0,0,0,1,1,397
22,29.4,78,1.6,1011,25.1,0,0,0,3,1,1709
3,11.8,78,0.3,1843,8,0,0,0,4,1,0
7,0.6,86,1.6,211,-1.4,0,0,0,1,1,108
1,9.5,65,0.9,990,3.2,0,0,0,4,1,584
19,-3.7,41,2,2000,-15,0,0,0,1,1,431
21,20.5,67,1.4,357,14.1,0,0,0,2,1,1885
6,27.8,71,0.1,2000,22,0,0,0,3,1,643
14,24.3,39,1.7,2000,9.4,2.18,0,0,4,1,0
2,19.1,78,1.3,2000,15.1,0,0,0,4,1,122
7,13.7,98,1.6,468,13.3,0.1,0,0,2,1,220
7,16,70,1.1,2000,10.5,0.11,0,0,4,1,511
18,28.4,57,2.4,2000,19,0.84,0,0,3,1,2836
22,12.7,60,0,680,5.1,0,0,0,4,1,1360
17,-3.8,32,5.2,2000,-18.1,0.25,0,0,1,1,178
17,16.7,45,2.2,772,4.6,0.43,0,0,4,1,0
22,4.4,43,1.1,2000,-7.1,0,0,0,4,1,655
1,9,66,0.7,2000,2.9,0,0,0,4,1,579
16,27.6,37,2.8,1935,11.5,1.9,0,0,4,1,1445
17,23.6,28,3.1,1844,4,1.26,0,0,2,1,2013
19,29.7,55,2.5,2000,19.6,0.23,0,0,3,1,2186
1,-1.4,42,1.1,1805,-12.6,0,0,0,1,1,101
17,28.2,83,1.3,1099,25,0.11,0,0,3,1,863
23,21.9,59,2.6,1188,13.5,0,0,0,3,1,1497
21,18.9,43,2,2000,6,0,0,0,4,1,1529
21,9.9,50,1.2,2000,0,0,0,0,4,1,1445
9,3.9,86,1.7,399,1.7,0.11,0.2,0,1,1,303
19,24.4,47,2,2000,12.3,0.05,0,0,4,1,2518
10,18.2,36,1,620,2.8,1.99,0,0,2,1,708
22,21.8,54,1.6,2000,12,0,0,0,4,1,1291
15,3.6,69,1.8,655,-1.5,0.17,0,0,1,1,63
11,27.2,82,0.9,1093,23.8,0.93,0,0,3,1,792
6,7.6,82,0.3,1933,4.7,0,0,0,4,1,458
16,22,60,1.8,2000,13.8,0.14,0,0,3,1,1220
15,17.2,96,0.6,213,16.5,0.26,4,0,4,1,8
1,22.6,85,0.3,323,19.9,0,0,0,3,1,1070
6,6.1,96,2.1,798,5.5,0,0,0,2,1,178
1,29.1,79,1.3,975,25,0,0,0,3,1,875
7,12.8,82,0.6,370,9.7,0.01,0,0,2,1,781
10,-6.7,23,2.4,1938,-24.4,1.25,0,0,1,1,161
0,-4.6,38,0.1,1551,-16.7,0,0,0,1,1,178
4,27.8,67,0.2,1982,21.1,0,0,0,3,1,218
1,0.3,63,0.7,760,-5.9,0,0,0,1,1,269
2,-11.2,36,2.9,1981,-23.3,0,0,0,1,1,59
0,-10,34,1.1,2000,-22.9,0,0,0,1,1,108
16,25.1,41,1,2000,10.9,1.22,0,0,4,1,0
5,-7.6,49,1.3,2000,-16.4,0,0,0,1,1,66
12,32.5,59,3.4,1780,23.4,2.33,0,0,3,1,565
7,13.2,60,0.5,2000,5.5,0.02,0,0,4,1,1364
4,15,61,0.8,867,7.5,0,0,0,2,1,207
3,31.2,68,1.4,968,24.5,0,0,0,3,1,327
4,1.3,39,2.3,2000,-11.1,0,0,0,2,1,70
6,7.9,86,2,1070,5.6,0.01,0,0,2,1,469
19,-0.1,39,1.3,1911,-12.4,0,0,0,1,1,125
8,1.4,58,0.9,1883,-5.9,0.15,0,0,4,1,1883
9,10.6,94,2.1,739,9.6,0.06,2,0,4,1,56
18,13.4,49,2.4,1982,2.8,0.6,0,0,2,1,2310
9,-4.1,30,0.5,2000,-19.1,0.28,0,0,1,1,137
13,4.5,51,3.8,1108,-4.7,1.08,0,0,1,1,316
22,-3.8,53,1.3,1300,-12,0,0,0,1,1,281
18,-0.5,26,1.7,1999,-17.7,0.15,0,0,1,1,564
17,4.3,80,2.6,1357,1.1,0.23,0.1,0,2,1,58
5,10.2,80,0.8,366,6.8,0,0,0,2,1,107
6,-3,62,0.8,1996,-9.2,0,0,0,1,1,151
8,7.7,62,2.4,1985,0.8,0.23,0,0,4,1,713
20,18.6,55,1.5,2000,9.3,0,0,0,4,1,1744
22,-14.6,40,1.8,1746,-25.2,0,0,0.3,1,1,108
22,-3.2,81,3.9,492,-6,0,0,1,1,1,170
0,12.9,70,1.8,2000,7.5,0,0,0,4,1,395
6,8.7,80,1.1,1518,5.4,0,1,0,2,1,12
1,21.6,77,2.6,1777,17.3,0,0,0,4,1,345
23,20.9,56,1.5,2000,11.7,0,0,0,3,1,1191
17,4.9,43,4.3,2000,-6.6,0.42,0,0,2,1,719
15,-1.3,26,3,2000,-18.3,0.91,0,2.1,1,1,195
13,23.4,34,2.1,2000,6.6,2.84,0,0,4,1,1686
9,16.5,50,1.2,2000,6,0.66,0,0,4,1,0
5,22.6,86,0.5,1076,20.1,0,0.1,0,3,1,54
21,31.3,55,0.9,2000,21.1,0,0,0,3,1,1641
7,9.2,72,1,2000,4.4,0.01,0,0,4,1,1206
16,16.5,39,3.1,366,2.4,1.91,0,0,2,1,1031
8,-11.1,61,0.7,1963,-17.1,0.01,0,0,1,1,491
7,10.5,70,1.1,483,5.2,0.04,0,0,2,1,747
9,19.3,62,0.8,1894,11.8,1.14,0,0,2,1,912
9,12.8,57,1.2,1838,4.4,0.55,0,0,4,1,0
12,9.4,40,2.6,1913,-3.5,2.78,0,0,2,1,705
9,10.3,64,1,1544,3.7,0.91,0,0,4,1,1168
18,17.5,79,1.5,2000,13.8,0.57,0,0,2,1,2261
11,35.3,45,1.7,1829,21.5,2.27,0,0,3,1,547
5,24.5,85,0.7,1345,21.8,0,0,0,3,1,223
9,27.2,59,0.4,948,18.4,1.18,0,0,3,1,982
4,-5.8,32,1.6,2000,-19.8,0,0,0,1,1,50
6,-14.9,45,2.3,2000,-24.2,0,0,0,1,1,92
5,-4.4,54,0.8,1786,-12.3,0,0,0,1,1,61
5,22.3,87,0.6,399,20,0,0,0,2,1,52
23,18.7,80,1.7,2000,15.1,0,0,0,4,1,935
20,16.7,52,0.9,1328,6.7,0,0,0,2,1,941
12,6.8,51,1,1617,-2.6,1.13,0,0,2,1,510
21,13.7,73,1.8,658,8.9,0,0,0,2,1,948
1,3,52,0.7,2000,-5.9,0,0,0,2,1,366
13,19.4,35,1.2,678,3.5,1.73,0,0,4,1,1064
4,12.4,0,0.8,2000,-3.4,0,0,0,2,1,113
1,20.9,66,1.1,2000,14.3,0,0,0,4,1,748
15,28.4,43,3.1,1337,14.6,2.65,0,0,3,1,1589
2,3.9,85,0.8,299,1.6,0,0,0,4,1,299
4,14.4,85,0.8,1437,11.9,0,0,0,2,1,185
15,-5.9,25,3.1,1936,-22.8,1.93,0,0,1,1,171
9,19.7,98,0.5,659,19.3,0.05,10,0,2,1,28
13,25.6,40,2.5,1704,10.9,2.18,0,0,4,1,0
11,23.1,30,2.5,1896,4.5,3.01,0,0,2,1,959
13,18.1,32,1.5,1684,1.1,2.21,0,0,4,1,1593
1,-1.1,38,2.8,1999,-13.6,0,0,0,1,1,123
20,25.7,43,2.1,2000,12.1,0.12,0,0,3,1,2515
16,18.5,40,1.8,2000,4.6,1.28,0,0,4,1,1473
0,23.5,88,0.6,2000,21.3,0,0,0,3,1,870
11,7.4,30,1.4,2000,-9,0.44,0,0,4,1,649
19,12.6,93,3.9,831,11.4,0,0,0,2,1,131
5,-5.6,38,3.2,1974,-17.6,0,0,0,1,1,86
0,19.7,76,0.5,386,15.3,0,0,0,2,1,612
11,18,85,1.1,411,15.4,0.45,0,0,2,1,206
23,-7.6,50,1,1839,-16.2,0,0,0,1,1,164
21,5.8,60,2.2,650,-1.3,0,0,0,2,1,676
5,6.1,75,1,1053,1.9,0,0,0,4,1,0
21,12.1,40,2,1308,-1.1,0,0,0,2,1,1209
20,-3.6,38,3,2000,-15.8,0,0,0,1,1,398
19,32.9,44,2,1985,19,0.59,0,0,3,1,2084
15,25.5,43,2.9,1996,11.9,1.71,0,0,3,1,1249
2,17.7,87,1.2,2000,15.5,0,0,0,3,1,385
11,32.9,45,2.1,1020,19.3,2.72,0,0,3,1,676
19,12.7,32,2.3,2000,-3.6,0.01,0,0,2,1,630
5,8.8,84,0.6,420,6.2,0,0,0,4,1,0
18,-3.1,39,2.1,2000,-15.1,0,0,0,1,1,637
1,31.5,69,1.5,1512,25.1,0,0,0,3,1,647
22,18.6,69,1.7,1047,12.7,0,0,0,2,1,1336
6,19.5,64,0.4,1268,12.5,0.02,0,0,2,1,625
15,15.1,52,3.4,622,5.3,1.3,0,0,4,1,0
17,-5.9,27,3.6,1974,-21.9,0.81,0,0,1,1,184
23,25.1,65,2.2,2000,18,0,0,0,4,1,1047
22,15.6,43,2.3,1016,3,0,0,0,2,1,1128
5,6.6,73,0.3,1219,2,0,0,0,4,1,112
14,20.2,89,1,1854,18.3,0.27,0.5,0,3,1,110
16,1.4,33,4.8,1480,-13.1,1.98,0,0,2,1,460
3,11,66,0.9,2000,4.8,0,0,0,4,1,0
21,-0.1,29,0.5,2000,-16,0,0,0,1,1,237
6,20,78,0.4,752,16,0.05,0,0,3,1,779
4,20.7,76,1,2000,16.3,0,0,0,4,1,223
11,17.5,25,1.3,1843,-2.7,2.74,0,0,2,1,938
23,-6.3,39,0.9,2000,-18,0,0,0,1,1,216
10,0.9,44,1.1,1826,-10,1.16,0,0,1,1,259
7,-0.4,34,1,1989,-14.3,0,0,0,1,1,316
0,16.6,69,1,2000,10.8,0,0,0,4,1,1037
8,26.1,74,0.7,1254,21,0.87,0,0,3,1,787
9,19.2,65,1.4,2000,12.4,0.34,0,0,3,1,786
0,20.3,58,1.4,2000,11.7,0,0,0,3,1,918
13,31.3,30,2.1,2000,11.6,3.3,0,0,3,1,820
8,5.9,90,2.8,1820,4.3,0.32,0,0,2,1,1235
8,19.3,83,0.6,394,16.3,0.23,0,0,2,1,1937
8,2,51,0.7,990,-7,0,0,0,1,1,767
20,2.8,29,2.8,1473,-13.5,0,0,0,1,1,262
17,34,44,2.3,1891,20,1.95,0,0,3,1,1536
23,3.9,60,0.9,379,-3.1,0,0,0,1,1,242
2,2.2,49,1.9,2000,-7.4,0,0,0,2,1,191
18,24,61,1.5,1935,16,0.26,0,0,3,1,2962
11,14.1,32,1.3,2000,-2.3,2.67,0,0,2,1,855
7,-0.1,97,0.5,179,-0.5,0,0,3.8,1,1,174
13,-2.5,62,1.4,1087,-8.7,0.66,0,0,1,1,212
15,17.9,44,2.2,2000,5.4,2.79,0,0,2,1,1209
6,20.6,98,0.7,626,20.2,0,1,0,3,1,47
17,20.2,62,1.1,2000,12.6,1.74,0,0,2,1,1737
2,-2.9,31,1.6,1931,-17.7,0,0,0,1,1,105
5,-10.8,48,0.8,1648,-19.6,0,0,0,1,1,62
2,9.7,23,1.4,2000,-10.4,0,0,0,2,1,257
15,32.9,49,2.6,1631,20.7,2.81,0,0,3,1,946
14,-6.4,24,4.6,1970,-23.7,2.23,0,0,1,1,170
21,16.8,52,1.6,2000,6.8,0,0,0,4,1,0
21,6.7,84,2.8,193,4.1,0,0,0,2,1,487
5,12.3,65,0.5,1085,5.8,0,0,0,2,1,96
19,6,44,0.8,1758,-5.3,0,0,0,4,1,735
14,1.8,29,2,1693,-14.3,1.14,0,0,1,1,370
20,1.7,85,1.3,396,-0.5,0,0,0,2,1,120
19,15.2,60,3.2,1081,7.4,0.09,0,0,2,1,1268
1,24.6,79,0.6,1884,20.7,0,0,0,3,1,782
11,8.1,94,1.2,802,7.1,0.39,0.5,0,2,1,52
21,14.2,44,2.4,1290,2.1,0,0,0,2,1,1165
13,25.7,46,0.8,2000,13.2,3.18,0,0,3,1,1215
19,3.1,40,2.6,1804,-9.2,0.01,0,0,1,1,297
15,22.2,60,1.3,1907,14,0.34,0,0,3,1,1240
16,-1.8,31,3.1,1993,-16.7,0.56,0,2,1,1,211
21,19.5,34,1.3,2000,3.2,0,0,0,2,1,1780
11,19,67,1.9,1062,12.7,0.52,0,0,2,1,696
15,11,46,3.4,2000,-0.1,0.57,0,0,4,1,884
19,20.7,15,2,2000,-6.9,0.34,0,0,2,1,1711
9,22.8,93,3.1,569,21.6,0.06,4,0,2,1,97
1,19.9,52,1.6,2000,9.7,0,0,0,3,1,946
3,9.2,68,0.4,1538,3.5,0,0,0,4,1,342
20,14.2,15,2.6,2000,-12.1,0,0,0,2,1,1319
7,-3,40,0.9,2000,-14.7,0,0,0,1,1,55
14,27.9,42,5,1914,13.7,2.79,0,0,4,1,989
23,0.3,80,0.8,264,-2.7,0,0,0,1,1,236
16,27.8,42,1.7,1974,13.7,1.98,0,0,4,1,1494
9,4.6,60,0.8,967,-2.5,0.46,0,0,4,1,889
11,17.5,55,2.1,1892,8.3,1.35,0,0,2,1,643
23,9.7,45,2,1969,-1.6,0,0,0,2,1,0
8,-8.1,43,1.7,1943,-18.5,0,0,0,1,1,72
13,27.3,52,3.1,613,16.5,3.21,0,0,3,1,1444
15,21,67,4.1,2000,14.6,2.05,0,0,4,1,1236
14,24.4,93,2.9,250,23.1,0.26,1.5,0,3,1,152
23,2.8,86,1.2,476,0.6,0,0,3,4,1,386
13,19.9,33,1.4,2000,3.1,1.28,0,0,2,1,1559
19,8.1,53,3.7,2000,-0.9,0,0,0,4,1,1377
23,17.3,57,0.6,807,8.6,0,0,0,2,1,891
0,13.4,77,1.5,537,9.4,0,0,0,2,1,466
1,12,58,0.7,2000,3.9,0,0,0,4,1,0
11,23.2,52,1.4,2000,12.7,1.53,0,0,3,1,1107
21,19.9,82,0.6,2000,16.7,0,0,0,4,1,1540
12,18.3,40,0.6,1995,4.4,1.82,0,0,4,1,0
4,8.8,65,2.5,2000,2.5,0,0,0,2,1,87
8,21.5,58,1.1,1021,12.8,1.21,0,0,3,1,2322
15,18.9,28,3.7,1769,0,2.09,0,0,2,1,1542
8,-9.4,29,1.9,1967,-24.1,0.03,0,0,1,1,81
12,28.4,45,2.2,649,15.3,2.92,0,0,3,1,988
4,-6.4,46,0.8,1993,-16.1,0,0,0,1,1,47
6,-8.4,33,1.4,1963,-21.8,0,0,0,1,1,39
20,17,49,1.4,2000,6.1,0,0,0,4,1,0
1,13.8,75,0.5,2000,9.4,0,0,0,4,1,882
5,21.8,55,1.9,2000,12.3,0,0,0,3,1,304
21,16.8,67,2,1775,10.6,0,0,0,2,1,1181
15,20.4,36,2.8,2000,4.8,1.56,0,0,4,1,2167
12,12.5,53,3.4,1324,3.1,2.52,0,0,2,1,1105
13,-2.2,25,3.2,1970,-19.6,1.17,0,2.2,1,1,189
22,12.7,61,2.2,1949,5.3,0,0,0,2,1,1146
5,16.7,93,2.8,360,15.5,0,4.5,0,4,1,0
23,2.5,72,1.5,1071,-2,0,0,0,2,1,309
4,7.1,79,1.2,1567,3.6,0,0,0,4,1,226
6,-6.2,32,2.5,2000,-20.2,0,0,0,1,1,39
7,6.2,83,0.8,1100,3.5,0.01,0,0,4,1,412
3,15.2,63,0.5,700,8.1,0,0,0,2,1,358
14,17.5,38,1.2,1090,3,1.74,0,0,4,1,993
20,-9.6,34,2.6,2000,-22.5,0,0,0,1,1,193
0,-5.2,37,2.2,2000,-17.6,0,0,0,1,1,254
8,15.2,58,1.7,2000,6.9,0.29,0,0,4,1,0
16,-0.5,30,0,2000,-16,0,0,0,1,1,435
23,20.4,57,0.9,2000,11.5,0,0,0,4,1,0
2,23.9,69,0.3,531,17.8,0,0.2,0,2,1,145
2,12.1,85,1.4,321,9.6,0,0,0,2,1,378
22,10.7,58,1.4,600,2.7,0,0,0,2,1,662
0,27.7,78,1.2,1341,23.5,0,0,0,3,1,939
21,15.1,48,2.6,2000,4.1,0,0,0,4,1,1788
16,21.7,23,2.5,1404,-0.3,1.97,0,0,2,1,1386
7,19.6,75,0.9,884,15,0.42,0,0,3,1,475
13,19.3,37,3,1257,4.2,2.53,0,0,2,1,1218
19,18.1,38,2.8,932,3.5,0.16,0,0,2,1,1712
21,31.1,47,1.3,2000,18.4,0,0,0,3,1,1638
16,20.7,34,2,2000,4.2,1.23,0,0,4,1,2270
6,26.4,76,0.4,1813,21.8,0.01,0,0,3,1,266
13,34.2,58,1.8,933,24.7,1.33,0,0,3,1,741
13,35.1,39,2,2000,19,3.45,0,0,3,1,652
19,13.2,66,1.7,705,6.9,0,0,0,4,1,1618
20,23.4,64,1.8,1144,16.1,0.07,0,0,3,1,2145
10,15.7,18,1.6,1980,-8.6,1.66,0,0,2,1,741
20,1.3,49,2.8,1683,-8.2,0,0,0,1,1,232
18,-0.6,62,1.6,1129,-6.9,0,0,0,1,1,552
9,23.5,72,0.5,1485,18.1,0.95,0,0,4,1,1186
20,4.2,44,4.1,2000,-6.9,0,0,0,2,1,458
2,23.6,80,1.5,879,19.9,0,0,0,3,1,568
8,7.9,76,1.2,1290,3.9,0.25,0,0,4,1,2070
16,-0.2,23,4.7,2000,-18.8,0.55,0,0,1,1,375
9,13.5,66,1.8,934,7.2,0.16,0,0,2,1,485
21,2.9,64,2.5,1154,-3.2,0,0,0,1,1,393
3,28.2,65,0.3,1999,20.9,0,0,0,3,1,332
9,27,70,1.1,1393,21,1.15,0,0,3,1,909
14,35.8,49,2.8,1264,23.4,2.4,0,0,3,1,649
7,14.4,66,1.1,704,8.1,0.42,0,0,2,1,1250
4,-0.7,65,0.6,1226,-6.4,0,0,0,1,1,89
1,-7,38,2.6,2000,-18.9,0,0,0,1,1,95
0,18.1,77,0.5,287,13.9,0,0,0,2,1,764
3,1.5,82,3.5,372,-1.2,0,0.1,0,2,1,122
7,25.9,87,1.7,834,23.5,0.26,0,0,3,1,1279
4,21.6,87,0.4,951,19.3,0,0,0,4,1,215
3,-10.6,47,3.7,2000,-19.7,0,0,0,1,1,54
23,22.9,81,0.9,1550,19.4,0,0,0,4,1,1210
1,24.6,96,0.5,443,23.9,0,0.5,0,3,1,240
4,8.5,83,1.2,1577,5.7,0,0,0,4,1,161
18,24,55,2.2,1691,14.3,0.12,0,0,4,1,0
23,8.4,60,1.5,2000,1,0,0,0,4,1,857
8,0.3,53,0.9,1971,-8.1,0.05,0,0,4,1,1818
7,26.9,69,0.8,1960,20.7,0.29,0,0,3,1,345
16,34.1,47,2.5,2000,21.1,0.61,0,0,3,1,959
15,-1.1,29,2.8,1976,-16.9,0.96,0,0,1,1,286
5,6.8,86,0.5,692,4.6,0,0,0,4,1,118
6,-7.7,74,1.1,2000,-11.5,0,0,0.8,1,1,84
21,24.8,72,1.4,1298,19.4,0,0,0,3,1,1732
0,29.4,78,2.1,1072,25.1,0,0,0,3,1,992
17,28.2,39,2.9,1653,12.9,0.7,0,0,3,1,2355
19,28.2,82,0.4,1832,24.8,0.16,0,0,3,1,1698
14,25,54,2.2,1146,15,1.86,0,0,3,1,1249
3,24.7,84,0.7,694,21.8,0,0,0,3,1,381
10,16.1,37,2.9,1629,1.3,2.4,0,0,2,1,864
18,35.4,40,1,2000,19.7,0.34,0,0,3,1,2528
0,-0.9,60,0.7,1844,-7.7,0,0,0,1,1,135
3,28.5,62,1.6,2000,20.5,0,0,0,3,1,387
3,15.3,69,0.5,1103,9.6,0,0,0,2,1,419
15,26.9,77,2.5,1937,22.5,0.26,0,0,3,1,583
14,25.8,69,3.6,1309,19.6,0.56,0.1,0,3,1,417
9,1.9,65,0.8,402,-3.9,0.06,0,0,1,1,376
13,16.8,46,1.1,760,5,1.71,0,0,4,1,986
11,17.9,54,1.4,2000,8.4,0.73,0,0,4,1,0
21,2.6,39,0.3,1968,-9.9,0,0,0,4,1,694
17,33,46,3.1,1926,19.8,1.89,0,0,3,1,1425
7,-6.7,64,2.1,977,-12.3,0,0,0,1,1,90
8,17.3,71,0.5,1481,11.9,0.17,0,0,2,1,1677
2,22.9,82,2.1,1829,19.6,0,0,0,3,1,708
11,17.2,35,3.6,1731,1.5,2.93,0,0,2,1,1021
23,-1.3,84,1,1265,-3.6,0,0,0,1,1,323
11,19.4,31,4.1,1966,1.8,2.55,0,0,4,1,588
10,-5.3,44,2.8,1516,-15.6,0.63,0,0,1,1,261
3,24.8,80,1,1988,21.1,0,0,0,3,1,372
10,22.6,58,1.8,1962,13.9,2.02,0,0,4,1,896
7,3,53,0.5,1094,-5.6,0,0,0,2,1,662
22,19.3,55,0.5,2000,10,0,0,0,4,1,1501
23,22.9,92,0.6,989,21.5,0,0,0,3,1,919
22,1,69,0.7,525,-4,0,0,0,1,1,357
5,-11.6,45,2.8,1951,-21.1,0,0,0,1,1,65
5,3.1,90,1.2,974,1.6,0,0,0,2,1,17
18,25.1,32,2.4,1899,7.2,1.1,0,0,2,1,2268
7,2.5,71,0.9,289,-2.2,0,0,0,1,1,272
7,5.8,79,1,862,2.4,0,0,0,4,1,259
3,-2.5,62,0.4,1626,-8.7,0,0,0,1,1,41
15,25.5,68,2.4,638,19.1,1.61,0,0,3,1,1362
12,18.9,44,0.9,1910,6.3,0.75,0,0,2,1,631
12,34.2,35,1.8,1528,16.5,3.14,0,0,3,1,735
2,18.8,88,0.3,500,16.7,0,0,0,3,1,418
18,14,71,1.5,201,8.8,0.01,0,0,4,1,0
20,6.4,77,2.8,316,2.6,0,0,0,1,1,295
21,0.8,45,1.5,1184,-9.8,0,0,0,1,1,339
1,7.1,78,3.6,1662,3.5,0,0,0,2,1,349
4,6.2,59,0.8,493,-1.2,0,0,0,2,1,88
22,32.5,50,1.2,2000,20.7,0,0,0,3,1,1552
5,1.3,51,1.6,2000,-7.7,0,0,0,2,1,59
19,14.3,53,2.1,2000,4.8,0.17,0,0,2,1,1626
19,34.5,47,2.8,1762,21.5,0.42,0,0,3,1,1478
12,4.8,47,2.6,1373,-5.5,1.72,0,0,1,1,352
4,20.6,97,0.5,1989,20.1,0,0,0,3,1,133
14,25.9,28,2.2,808,5.9,2.92,0,0,2,1,970
16,-0.4,30,2,2000,-15.9,0.62,0,0,1,1,299
20,1.2,94,0.6,228,0.3,0,0,1,1,1,190
16,18.4,25,3.2,1909,-2,1.05,0,0,4,1,1690
22,18.6,54,2.3,1328,9,0,0,0,2,1,1678
0,12.6,78,1.3,1427,8.8,0,0,0,4,1,638
5,6.8,83,0.6,341,4.1,0,0,0,4,1,111
19,24.1,93,2.1,1118,22.8,0.23,1.5,0,3,1,44
22,19.6,71,0.6,325,14.1,0,0,0,2,1,1648
3,3.6,74,1.7,273,-0.6,0,0,0,1,1,95
8,18,91,1.3,896,16.5,0.11,0.5,0,4,1,299
6,-5.1,53,0.9,1975,-13.2,0,0,0,1,1,76
8,-4.8,31,0.8,2000,-19.3,0.02,0,0,1,1,92
5,18.4,87,0.8,209,16.1,0,0.4,0,2,1,76
1,16.8,53,2,2000,7.1,0,0,0,4,1,426
2,18.6,84,2.5,619,15.8,0,0,0,3,1,525
1,22.5,80,1.1,619,18.8,0,0,0,3,1,585
16,-2.4,28,0.9,1878,-18.4,0.35,0,0,1,1,335
8,27.2,69,1.8,1999,21,0.7,0,0,3,1,1728
15,21.3,32,3.8,2000,3.9,2.31,0,0,4,1,0
12,-8.2,31,2.7,1858,-22.3,2.09,0,0,1,1,172
16,37.4,35,1.3,2000,19.3,2,0,0,3,1,993
23,29.3,66,2.8,1854,22.2,0,0,0,3,1,1193
11,21.7,97,0.5,591,21.1,0.25,8,0,3,1,153
6,-4.8,91,1.1,266,-6,0,0,2.2,1,1,84
7,14.2,81,0.3,1991,10.9,0.13,0,0,2,1,389
21,13.4,60,2.2,1517,5.7,0,0,0,2,1,1447
5,4.7,89,2.3,1242,3,0,0,0,2,1,22
16,27.9,47,2.8,824,15.5,2.36,0,0,3,1,1940
18,26.6,52,2.5,1368,15.9,1.09,0,0,3,1,2162
15,16,14,2.2,1828,-11.5,2.33,0,0,2,1,1238
4,2.4,89,0.7,321,0.7,0,0,2.6,4,1,138
13,2.6,83,1.9,1774,0,0.84,0,6,4,1,241
5,13.6,89,2.7,990,11.8,0,0,0,4,1,152
12,25.4,63,0.9,2000,17.8,1.01,0,0,4,1,1284
17,2.3,33,0.2,1515,-12.3,0.13,0,0,1,1,349
9,-7.6,31,1.3,1974,-21.8,0.21,0,0,1,1,462
18,26.2,54,2.2,1183,16.1,0.88,0,0,3,1,3309
11,14.5,42,1.6,890,1.7,1.85,0,0,4,1,0
4,14.4,58,1.1,2000,6.2,0,0,0,4,1,151
